box,storage,room,storage_r
0,Attic,Infodesk,attic
1,Attic,Infodesk,attic
2,Attic,K.1.105,attic
3,Attic,K.1.105,attic
4,Attic,K.1.105,attic
6,Attic,Infodesk,attic
7,Attic,NOC,attic
8,Attic,K.1.105,attic
9,Attic,Infodesk,attic
10,Attic,K.1.105,attic
11,Attic,K.1.105,attic
12,Attic,Kitchen,attic
13,Attic,NOC,attic
14,Attic,NOC,attic
15,Attic,NOC,attic
16,Attic,NOC,attic
17,Attic,Infodesk,attic
18,Attic,NOC,attic
19,Attic,NOC,attic
20,Attic,NOC,attic
21,Attic,Infodesk,attic
22,Attic,NOC,attic
23,Attic,Infodesk,attic
24,Attic,NOC,attic
63,Attic,NOC,attic
25,Attic,NOC,attic
26,Basement,Kitchen,basement
27,Attic,NOC,attic
28,Attic,Kitchen,attic
29,Attic,NOC,attic
30,Attic,NOC,attic
31,Attic,NOC,attic
32,Attic,NOC,attic
33,Attic,K.1.105,attic
34,Basement,Kitchen,basement
35,Basement,Kitchen,basement
36,Basement,Kitchen,basement
37,Basement,Kitchen,basement
38,Basement,Kitchen,basement
39,Basement,Kitchen,basement
40,Basement,Kitchen,basement
41,Basement,Kitchen,basement
42,Attic,NOC,attic
43,Attic,NOC,attic
44,Attic,NOC,attic
45,Attic,NOC,attic
47,Attic,Infodesk,attic
48,Attic,NOC,attic
49,Attic,Infodesk,attic
50,Attic,Infodesk,attic
50,Attic,NOC,attic
51,Attic,Infodesk,attic
52,Attic,NOC,attic
53,Attic,NOC,attic
54,Attic,Infodesk,attic
55,Attic,K.1.105,attic
56,Attic,K.1.105,attic
57,Attic,K.1.105,attic
58,Attic,Infodesk,attic
59,Attic,K.1.105,attic
60,Attic,NOC,attic
61,Attic,Infodesk,attic
64,Attic,Infodesk,attic
